Proj_Num,Proj_Name,IO_Points,Comm_Points,En_hours,Pm_hours,Sf_hours,Gr_hours,Cm_hours
T10045,Sheffield Hearst,105,0,262.5,225,17.5,103,318
T13031,Sumtomo,428,105,224,407.25,100,137,236
T14009,101 6th Ave Fl 18-23,187,75,177.5,191,7.5,124,595.5
T14026,51 Astor IBM,254,0,176,182.5,51.5,100.5,302
T15040,51 Astor - 11th Fl - Tudor Investments,164,220,182.5,59.5,37.5,47.5,137.5
T14039,1325 Ave of Americas 12 & 14th Paramount,182,0,67.5,64,40,124.5,212
T14036,"51 Astor IBM Fl 6, Fl 7",229,0,45,120.5,12,30,119
T12044,Con Ed Farrington Sub Station,60,40,164,172.25,47.5,45.5,52
T08031,45th St Hotel,54,0,193,334,21,0,174.5
T14004,Trip Advisor,136,45,190.75,184,40,22,250.5
T11028,"MOMA AC8, AC106",77,0,137.5,78,16,24.5,203.5
T10038,"545 Madison Floors 10-12, 14",195,16,42,101.5,30,34.5,83
T13056,Brookhaven Chiller 8,57,0,87,29,0,0,0
T15002,"101 Sixth Avenue - 15th, 16th, 17th Floors Two Sigma Phase II",82,175,141,140,41.5,27,245
T08033,AMNH Chilled Water Conversion,111,0,159.5,235.5,293,38,44
T14044,51 Astor 12th Fl,120,40,180.5,166.75,59.5,68.5,292
T10022,Molloy College,370,120,251,263,205,175,288
T09023,OBP 40th Fl - HBK,121,40,36.75,81.75,20,18.5,122
T13047,"MOMA AC101, 102",98,0,221.25,83,32,95.5,199
T09048,Jamaica Central Control - 6&7,90,30,145,138,64.5,22,132.5
T13053,BLH Cardiac Lab,85,108,23.5,205.25,116.5,113,154
T10001,ANMH - Roosevelt,89,24,240,252.75,224,2,288.5
T10049,200 Connell Drive,238,0,50.5,142,13,49.5,244.5
T09020,OBP - 50th Fl,170,50,3.5,91.75,20,28,99
T10003,LGA BTU Meter,54,20,191.5,204.5,20.5,68,98.5
T14053,101 AOA,2,222,239.5,165.5,27.5,49,291.5
T12019,AMNH Roos Mem Roof,99,32,257,210,131.5,51,301
T14013,NYPL-TODT HILL,38,250,217.5,79,195,26,40
T12058,Bethune Flood Damage,84,0,68,292.5,36.5,21.5,299
T14008,1325 AoA Merrill,123,177,172,158,72,155.5,237
T15033,400 5th Ave - 3rd & 4th Floor,94,32,141.5,60,8,65,49.5
T10036,ANMH - Rotunda,72,0,107.5,113.25,112,85,355
T08063,300 Madison 7th Fl,56,208,115.5,133.5,109.5,38,32
T14066,Verizion 111 Main - Dry Coolers,20,65,155.5,85.5,54.5,8,55
T08020,Noguchi Museum,43,23,250.75,289,83.25,60.5,186
T10039,One River Terrace Update Chilled Water,44,0,112.5,122.5,23,33.5,99
T12022,New York Hall of Science,72,0,209,271.5,30,212,347
T10043,300 Connell,45,270,28.5,63.5,14.5,18.5,168.5
T13037,Bronx Lebanon Hosp,64,133,284.5,82,388,290,197
T14023,New School Flood Damage,22,0,0,146.5,16,20,403
T08001,National Stock Exchange,29,0,47.75,90,0.5,0,0
T14061,51 Astor Maple,56,0,75,41.25,11,19,131
T12026,NYPL Pelham,29,0,118.5,54.25,24,17,78
